receipt_ID,receipt_status,receipt_date,week_number
1711152662153688,invalid,2018-08-24,6
1713399155968540,paid,2018-08-27,7
1696446608722052,paid,2018-08-03,3
1700778101500120,invalid,2018-08-09,4
1714670358776380,invalid,2018-08-29,7
1695674626893936,invalid,2018-08-02,3
1696696512735368,paid,2018-08-03,3
1716981791877760,invalid,2018-09-01,7
1713353134311960,invalid,2018-08-27,7
1698732775844000,paid,2018-08-06,4
1712095180081656,paid,2018-08-25,6
1715602902346332,invalid,2018-08-30,7
1704171193821472,paid,2018-08-14,5
1702130920982768,paid,2018-08-11,4
1699413617215668,paid,2018-08-07,4
1698666401859736,paid,2018-08-06,4
1711716453108200,invalid,2018-08-25,6
1699006244980904,paid,2018-08-07,4
1713174527371792,invalid,2018-08-27,7
1699773759015100,paid,2018-08-08,4
1714548074129976,invalid,2018-08-29,7
1700401089030348,paid,2018-08-09,4
1716032912550504,invalid,2018-08-31,7
1701440903948516,submitted,2018-08-10,4
1716670570031740,invalid,2018-09-01,7
1702168403011828,paid,2018-08-11,4
1717437531949712,invalid,2018-09-02,7
1702747426908412,paid,2018-08-12,4
1718187176159916,invalid,2018-09-03,8
1703527598164236,paid,2018-08-13,5
1718839382805176,invalid,2018-09-04,8
1703915552000276,paid,2018-08-14,5
1719543803972296,invalid,2018-09-05,8
1704957082331436,paid,2018-08-15,5
1720255098530528,invalid,2018-09-06,8
1705769797208392,paid,2018-08-16,5
1720918761138932,invalid,2018-09-07,8
1706394925959504,paid,2018-08-17,5
1721626253503252,submitted,2018-09-08,8
1706860434934104,submitted,2018-08-18,5
1719659705576140,invalid,2018-09-05,8
1707858083465596,paid,2018-08-19,5
1693084505606216,submitted,2018-07-29,2
1709249032661408,paid,2018-08-21,6
1713708247353896,invalid,2018-08-28,7
1709603817015724,paid,2018-08-22,6
1695864262903924,paid,2018-08-02,3
1710443267877316,paid,2018-08-23,6
1721453053266704,submitted,2018-09-07,8
1710992880421332,paid,2018-08-24,6
1717520826149528,paid,2018-09-02,7
1712118993455612,paid,2018-08-25,6
1703316048963844,invalid,2018-08-13,5
1712495205026308,paid,2018-08-26,6
1705614436927804,submitted,2018-08-16,5
1713233203137044,paid,2018-08-27,7
1711993619622388,invalid,2018-08-25,6
1714136015751732,submitted,2018-08-28,7
1692942630234180,paid,2018-07-29,2
1714707206752832,paid,2018-08-29,7
1709863947569592,invalid,2018-08-22,6
1715653047896672,paid,2018-08-30,7
1716077286509168,paid,2018-08-31,7
1717073550224004,paid,2018-09-01,7
1717433559206540,paid,2018-09-02,7
1718432285190836,paid,2018-09-03,8
1719164727028412,paid,2018-09-04,8
1719796204538584,paid,2018-09-05,8
1720522523429612,paid,2018-09-06,8
1721022751886076,paid,2018-09-07,8
1717483273030292,invalid,2018-09-02,7
1708411813046668,invalid,2018-08-20,6
1693774135543904,invalid,2018-07-30,3
1685814761441328,invalid,2018-07-19,1
1720430679444200,submitted,2018-09-06,8
1721053503580928,invalid,2018-09-07,8
1699414527068344,paid,2018-08-07,4
1702717831653624,invalid,2018-08-12,4
1707665059457392,paid,2018-08-19,5
1720573186329328,invalid,2018-09-06,8
1699778581104832,invalid,2018-08-08,4
1717549259459228,paid,2018-09-02,7
1719906444774108,paid,2018-09-05,8
1698325598283924,invalid,2018-08-06,4
1697852048402572,paid,2018-08-05,3
